id,Brand,Type,Chipset,Screen_Dimension
76,Moto,Moto E6,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.4% screen-to-body ratio)"
77,Moto,Moto E5 Plus,Qualcomm MSM8917 Snapdragon 425 (28 nm),"6.0 inches, 92.9 cm (~76.7% screen-to-body ratio)"
78,Moto,Moto G6 Plus,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.9 inches, 89.8 cm (~74.4% screen-to-body ratio)"
79,Motorola,Motorola G5s Plus,Qualcomm MSM8953 Snapdragon 625 (14 nm),"5.5 inches, 83.4 cm (~71.3% screen-to-body ratio)"
80,Motorola,Moto Z2 Play,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),"5.5 inches, 83.4 cm (~70.1% screen-to-body ratio)"
81,Motorola,Moto G6 Play,Qualcomm MSM8937 Snapdragon 430 (28 nm) Qualcomm MSM8920 Snapdragon 427 (28 nm) - USA,"5.7 inches, 83.8 cm (~75.2% screen-to-body ratio)"
82,Motorola,Moto E4,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~65.9% screen-to-body ratio)"
83,Motorola,Moto G7 Power,Qualcomm SDM632 Snapdragon 632 (14 nm),"6.2 inches, 94.0 cm (~77.6% screen-to-body ratio)"
84,Motorola,Moto G5,Qualcomm MSM8937 Snapdragon 430 (28 nm) ,"5.0 inches, 68.9 cm (~65.4% screen-to-body ratio)"
85,Motorola,P30,Qualcomm SDM636 Snapdragon 636 (14 nm),"6.2 inches, 96.9 cm (~82.0% screen-to-body ratio)"
86,Motorola,Moto X4,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.2 inches, 74.5 cm (~68.4% screen-to-body ratio)"
87,Nokia,43832,Qualcomm MSM8917 Snapdragon 425 (28 nm),"5.5 inches, 83.4 cm (~70.0% screen-to-body ratio)"
88,Nokia,3.1 Plus,Mediatek MT6762 Helio P22 (12 nm),"6.0 inches, 92.9 cm (~77.5% screen-to-body ratio)"
89,Nokia,43833,Mediatek MT6750 (28 nm),"5.2 inches, 69.8 cm2 (~69.4% screen-to-body ratio)"
90,Nokia,43864,Qualcomm SDM429 Snapdragon 429,"6.26 inches, 97.8 cm (~80.5% screen-to-body ratio)"
91,Nokia,43835,MediaTek Helio P18,"5.5 inches, 78.1 cm (~73.1% screen-to-body ratio)"
92,Nokia,43865,Qualcomm SDM439 Snapdragon 439 (12 nm),"5.71 inches, 81.4 cm (~76.6% screen-to-body ratio)"
93,Nokia,43836,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.5 inches, 82.6 cm (~73.2% screen-to-body ratio)"
94,Nokia,8.1 (Nokia X7),Qualcomm SDM710 Snapdragon 710 (10 nm),"6.18 inches, 95.3 cm (~81.2% screen-to-body ratio)"
95,Nokia,6.1 Plus (Nokia X6),Qualcomm SDM636 Snapdragon 636 (14 nm),"5.8 inches, 85.1 cm (~81.5% screen-to-body ratio)"
96,OnePlus,6T,Qualcomm SDM845 Snapdragon 845 (10 nm),"6.41 inches, 100.9 cm (~85.6% screen-to-body ratio)"
97,Oppo,A1K,Mediatek MT6762 Helio P22 (12 nm),"6.1 inches, 91.3 cm (~80.1% screen-to-body ratio)"
98,OnePlus,7 Pro,Qualcomm SM8150 Snapdragon 855 (7 nm),"6.67 inches, 108.8 cm2 (~88.1% screen-to-body ratio)"
99,Oppo,A3s,Qualcomm SDM450 Snapdragon 450 (14 nm),"6.2 inches, 95.9 cm (~81.2% screen-to-body ratio)"
100,Oppo,A5s (AX5s),Mediatek MT6765 Helio P35 (12nm),"6.2 inches, 95.9 cm (~81.6% screen-to-body ratio)"
101,Oppo,A5,Qualcomm SDM450 Snapdragon 450 (14 nm),"6.2 inches, 95.9 cm (~81.2% screen-to-body ratio)"
102,Oppo,A7,Qualcomm SDM450 Snapdragon 450 (14 nm),"6.2 inches, 95.9 cm (~81.6% screen-to-body ratio)"
103,Oppo,F11,Mediatek Helio P70 (12nm),"6.53 inches, 105.2 cm (~85.3% screen-to-body ratio)"
104,Oppo,A83,Mediatek MT6763T Helio P23 (16 nm),"5.7 inches, 83.8 cm (~76.2% screen-to-body ratio)"
105,Oppo,F11 Pro,Mediatek Helio P70 (12nm),"6.53 inches, 103.6 cm (~84.4% screen-to-body ratio)"
106,Oppo,F9 (F9 Pro),Mediatek MT6771 Helio P60 (12 nm),"6.3 inches, 97.4 cm (~84.0% screen-to-body ratio)"
107,Oppo,F5,Mediatek MT6763T Helio P23 (16 nm),"6.0 inches, 92.9 cm (~78.1% screen-to-body ratio)"
108,Panasonic,Eluga I3 Mega,Mediatek MT6735 (28 nm),"5.5 inches, 83.4 cm (~70.1% screen-to-body ratio)"
109,Panasonic,Eluga Ray 530,Mediatek MT6739WA,"5.7 inches, 83.8 cm (~76.2% screen-to-body ratio)"
110,Panasonic,Eluga I9,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~68.6% screen-to-body ratio)"
111,Panasonic,Eluga X1 Pro,Mediatek MT6771 Helio P60 (12 nm),"6.18 inches, 96.2 cm (~82.2% screen-to-body ratio)"
112,Panasonic,P95,Qualcomm MSM8909 Snapdragon 210 (28 nm),"5.0 inches, 68.9 cm (~69.3% screen-to-body ratio)"
113,Panasonic,P85 Nxt,Qualcomm MSM8909 Snapdragon 210 (28 nm),"5.0 inches, 68.9 cm (~68.7% screen-to-body ratio)"
114,Realmi,2,Qualcomm SDM450 Snapdragon 450 (14 nm),"6.2 inches, 95.9 cm (~81.2% screen-to-body ratio)"
