id,Brand,Type,Chipset,Screen_Dimension
136,Vivo,Vivo V9 Youth (Black) Without Offer,Qualcomm Snapdragon 450,16.002 centimeters (6.3-inch)
137,Vivo,"Vivo Y12 (Aqua Blue, 4GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",MediaTek Helio P22,16.15 centimeters (6.35-inch) 
138,Vivo,"Vivo Y15 (Aqua Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange",MediaTek Helio P22,16.15 centimeters (6.35-inch) 
139,Vivo,"Vivo Y17 (Mineral Blue, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",MediaTek P35,6.35-inch (16.15 centimeters)
140,Vivo,Vivo Y53 (Matte Black),Qualcomm MSM8917 Snapdragon 425,12.7 centimeters (5-inch)
141,Vivo,Vivo Y53i 1606 (Matte Black) Without Offer,Qualcomm Snapdragon 425,12.7 centimeters (5-inch) 
142,Vivo,"Vivo Y81 (Gold, 4GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Helio P22 MediaTek,15.46 centimeters (6.22-inch)
143,Vivo,"Vivo Y83 (Gold, 4GB RAM, 32GB Storage) with Offers",Mediatek Helio P22,15.46 centimeters (6.22-inch) 
144,Vivo,"Vivo Y91 (Nebula Purple, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Qualcomm Snapdragon 439,15.80 centimeters (6.22-inch) 
145,Vivo,"Vivo Y91i (Fusion Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Helio P22,15.80 centimeters (6.22-inch)
146,ZTE,ZTE V8 Mini (Silver),Snapdragon 435,2.7 centimeters (5-inch) 
